	0	1	2	3	4	5	6	7	8	9
1.0	1.000	1.005	1.010	1.015	1.020	1.025	1.030	1.034	1.039	1.044
1.1	1.049	1.054	1.058	1.063	1.068	1.072	1.077	1.082	1.086	1.091
1.2	1.095	1.100	1.105	1.109	1.114	1.118	1.122	1.127	1.131	1.136
1.3	1.140	1.145	1.149	1.153	1.158	1.162	1.166	1.170	1.175	1.179
1.4	1.183	1.187	1.192	1.196	1.200	1.204	1.208	1.212	1.217	1.221
1.5	1.225	1.229	1.233	1.237	1.241	1.245	1.249	1.253	1.257	1.261
1.6	1.265	1.269	1.273	1.277	1.281	1.285	1.288	1.292	1.296	1.300
1.7	1.304	1.308	1.311	1.315	1.319	1.323	1.327	1.330	1.334	1.338
1.8	1.342	1.345	1.349	1.353	1.356	1.360	1.364	1.367	1.371	1.375
1.9	1.378	1.382	1.386	1.389	1.393	1.396	1.400	1.404	1.407	1.411
2.0	1.414	1.418	1.421	1.425	1.428	1.432	1.435	1.439	1.442	1.446
2.1	1.449	1.453	1.456	1.459	1.463	1.466	1.470	1.473	1.476	1.480
2.2	1.483	1.487	1.490	1.493	1.497	1.500	1.503	1.507	1.510	1.513
2.3	1.517	1.520	1.523	1.526	1.530	1.533	1.536	1.539	1.543	1.546
2.4	1.549	1.552	1.556	1.559	1.562	1.565	1.568	1.572	1.575	1.578
2.5	1.581	1.584	1.587	1.591	1.594	1.597	1.600	1.603	1.606	1.609
2.6	1.612	1.616	1.619	1.622	1.625	1.628	1.631	1.634	1.637	1.640
2.7	1.643	1.646	1.649	1.652	1.655	1.658	1.661	1.664	1.667	1.670
2.8	1.673	1.676	1.679	1.682	1.685	1.688	1.691	1.694	1.697	1.700
2.9	1.703	1.706	1.709	1.712	1.715	1.718	1.720	1.723	1.726	1.729
3.0	1.732	1.735	1.738	1.741	1.744	1.746	1.749	1.752	1.755	1.758
3.1	1.761	1.764	1.766	1.769	1.772	1.775	1.778	1.780	1.783	1.786
3.2	1.789	1.792	1.794	1.797	1.800	1.803	1.806	1.808	1.811	1.814
3.3	1.817	1.819	1.822	1.825	1.828	1.830	1.833	1.836	1.838	1.841
3.4	1.844	1.847	1.849	1.852	1.855	1.857	1.860	1.863	1.865	1.868
3.5	1.871	1.873	1.876	1.879	1.881	1.884	1.887	1.889	1.892	1.895
3.6	1.897	1.900	1.903	1.905	1.908	1.910	1.913	1.916	1.918	1.921
3.7	1.924	1.926	1.929	1.931	1.934	1.936	1.939	1.942	1.944	1.947
3.8	1.949	1.952	1.954	1.957	1.960	1.962	1.965	1.967	1.970	1.972
3.9	1.975	1.977	1.980	1.982	1.985	1.987	1.990	1.992	1.995	1.997
4.0	2.000	2.002	2.005	2.007	2.010	2.012	2.015	2.017	2.020	2.022
4.1	2.025	2.027	2.030	2.032	2.035	2.037	2.040	2.042	2.045	2.047
4.2	2.049	2.052	2.054	2.057	2.059	2.062	2.064	2.066	2.069	2.071
4.3	2.074	2.076	2.078	2.081	2.083	2.086	2.088	2.090	2.093	2.095
4.4	2.098	2.100	2.102	2.105	2.107	2.110	2.112	2.114	2.117	2.119
4.5	2.121	2.124	2.126	2.128	2.131	2.133	2.135	2.138	2.140	2.142
4.6	2.145	2.147	2.149	2.152	2.154	2.156	2.159	2.161	2.163	2.166
4.7	2.168	2.170	2.173	2.175	2.177	2.179	2.182	2.184	2.186	2.189
4.8	2.191	2.193	2.195	2.198	2.200	2.202	2.205	2.207	2.209	2.211
4.9	2.214	2.216	2.218	2.220	2.223	2.225	2.227	2.229	2.232	2.234
5.0	2.236	2.238	2.241	2.243	2.245	2.247	2.249	2.252	2.254	2.256
5.1	2.258	2.261	2.263	2.265	2.267	2.269	2.272	2.274	2.276	2.278
5.2	2.280	2.283	2.285	2.287	2.289	2.291	2.293	2.296	2.298	2.300
5.3	2.302	2.304	2.307	2.309	2.311	2.313	2.315	2.317	2.319	2.322
5.4	2.324	2.326	2.328	2.330	2.332	2.335	2.337	2.339	2.341	2.343
5.5	2.345	2.347	2.349	2.352	2.354	2.356	2.358	2.360	2.362	2.364
5.6	2.366	2.369	2.371	2.373	2.375	2.377	2.379	2.381	2.383	2.385
5.7	2.387	2.390	2.392	2.394	2.396	2.398	2.400	2.402	2.404	2.406
5.8	2.408	2.410	2.412	2.415	2.417	2.419	2.421	2.423	2.425	2.427
5.9	2.429	2.431	2.433	2.435	2.437	2.439	2.441	2.443	2.445	2.447
6.0	2.449	2.452	2.454	2.456	2.458	2.460	2.462	2.464	2.466	2.468
6.1	2.470	2.472	2.474	2.476	2.478	2.480	2.482	2.484	2.486	2.488
6.2	2.490	2.492	2.494	2.496	2.498	2.500	2.502	2.504	2.506	2.508
6.3	2.510	2.512	2.514	2.516	2.518	2.520	2.522	2.524	2.526	2.528
6.4	2.530	2.532	2.534	2.536	2.538	2.540	2.542	2.544	2.546	2.548
6.5	2.550	2.551	2.553	2.555	2.557	2.559	2.561	2.563	2.565	2.567
6.6	2.569	2.571	2.573	2.575	2.577	2.579	2.581	2.583	2.585	2.587
6.7	2.588	2.590	2.592	2.594	2.596	2.598	2.600	2.602	2.604	2.606
6.8	2.608	2.610	2.612	2.613	2.615	2.617	2.619	2.621	2.623	2.625
6.9	2.627	2.629	2.631	2.632	2.634	2.636	2.638	2.640	2.642	2.644
7.0	2.646	2.648	2.650	2.651	2.653	2.655	2.657	2.659	2.661	2.663
7.1	2.665	2.666	2.668	2.670	2.672	2.674	2.676	2.678	2.680	2.681
7.2	2.683	2.685	2.687	2.689	2.691	2.693	2.694	2.696	2.698	2.700
7.3	2.702	2.704	2.706	2.707	2.709	2.711	2.713	2.715	2.717	2.718
7.4	2.720	2.722	2.724	2.726	2.728	2.729	2.731	2.733	2.735	2.737
7.5	2.739	2.740	2.742	2.744	2.746	2.748	2.750	2.751	2.753	2.755
7.6	2.757	2.759	2.760	2.762	2.764	2.766	2.768	2.769	2.771	2.773
7.7	2.775	2.777	2.778	2.780	2.782	2.784	2.786	2.787	2.789	2.791
7.8	2.793	2.795	2.796	2.798	2.800	2.802	2.804	2.805	2.807	2.809
7.9	2.811	2.812	2.814	2.816	2.818	2.820	2.821	2.823	2.825	2.827
8.0	2.828	2.830	2.832	2.834	2.835	2.837	2.839	2.841	2.843	2.844
8.1	2.846	2.848	2.850	2.851	2.853	2.855	2.857	2.858	2.860	2.862
8.2	2.864	2.865	2.867	2.869	2.871	2.872	2.874	2.876	2.877	2.879
8.3	2.881	2.883	2.884	2.886	2.888	2.890	2.891	2.893	2.895	2.897
8.4	2.898	2.900	2.902	2.903	2.905	2.907	2.909	2.910	2.912	2.914
8.5	2.915	2.917	2.919	2.921	2.922	2.924	2.926	2.927	2.929	2.931
8.6	2.933	2.934	2.936	2.938	2.939	2.941	2.943	2.944	2.946	2.948
8.7	2.950	2.951	2.953	2.955	2.956	2.958	2.960	2.961	2.963	2.965
8.8	2.966	2.968	2.970	2.972	2.973	2.975	2.977	2.978	2.980	2.982
8.9	2.983	2.985	2.987	2.988	2.990	2.992	2.993	2.995	2.997	2.998
9.0	3.000	3.002	3.003	3.005	3.007	3.008	3.010	3.012	3.013	3.015
9.1	3.017	3.018	3.020	3.022	3.023	3.025	3.027	3.028	3.030	3.032
9.2	3.033	3.035	3.036	3.038	3.040	3.041	3.043	3.045	3.046	3.048
9.3	3.050	3.051	3.053	3.055	3.056	3.058	3.059	3.061	3.063	3.064
9.4	3.066	3.068	3.069	3.071	3.072	3.074	3.076	3.077	3.079	3.081
9.5	3.082	3.084	3.085	3.087	3.089	3.090	3.092	3.094	3.095	3.097
9.6	3.098	3.100	3.102	3.103	3.105	3.106	3.108	3.110	3.111	3.113
9.7	3.114	3.116	3.118	3.119	3.121	3.122	3.124	3.126	3.127	3.129
9.8	3.130	3.132	3.134	3.135	3.137	3.138	3.140	3.142	3.143	3.145
9.9	3.146	3.148	3.150	3.151	3.153	3.154	3.156	3.158	3.159	3.161
10	3.162	3.178	3.194	3.209	3.225	3.240	3.256	3.271	3.286	3.302
11	3.317	3.332	3.347	3.362	3.376	3.391	3.406	3.421	3.435	3.450
